,offer_id,page_type,s1,s2,s5,s10,s15,s20,sOver
0,8,basket,189,313,459,400,262,194,389
1,8,card,3872,1129,1515,1063,631,402,538
2,8,category,1856,711,922,679,456,303,384
3,8,home,2019,375,582,299,148,96,218
4,8,none,4711,2109,1989,1151,631,398,552
5,8,other,140,1062,1069,683,352,230,312
6,8,typ,10,3,9,46,27,22,118
7,17,card,4861,906,720,325,138,77,65
8,17,category,224,374,394,214,92,54,55
9,17,home,979,233,203,80,36,22,27
10,17,none,173,438,451,196,84,49,46
11,17,order,10,44,104,85,35,22,32
12,17,typ,3,1,17,31,6,3,16
13,18,basket,5,89,67,54,25,18,25
14,18,card,1740,410,410,219,95,63,55
15,18,category,189,309,277,148,73,58,45
16,18,home,559,150,150,66,28,15,17
17,18,none,112,200,220,124,57,33,35
18,18,order,0,1,56,23,10,6,18
19,18,typ,1,0,17,19,10,2,18
20,30,basket,0,2,27,57,40,32,54
21,30,card,514,892,1119,653,271,138,151
22,30,category,2219,1059,1646,837,325,126,143
23,30,home,1319,875,905,457,172,77,122
24,30,none,1924,1385,1634,968,398,189,196
25,30,order,0,0,1,18,17,16,28
26,30,typ,0,0,0,4,2,2,9
27,31,category,5,6,4,4,2,1,3
28,31,none,4365,2667,2196,1251,664,409,352
29,31,typ,0,4,2,3,0,0,1
30,32,basket,58,49,105,82,65,39,125
31,32,card,9957,5821,7599,4784,2367,1433,1817
32,32,category,9713,7366,7615,4586,2304,1415,1583
33,32,home,1179,620,809,530,264,204,581
34,32,other,8,8,14,5,4,2,1
35,32,typ,36,52,104,84,61,21,65
36,41,basket,11,11,23,30,18,16,18
37,41,card,630,196,597,518,266,146,229
38,41,category,560,839,1034,686,333,204,246
39,41,home,525,213,181,107,39,24,67
40,41,none,580,384,439,261,129,66,120
41,41,order,0,0,9,18,17,14,11
42,41,typ,2,2,1,2,5,1,7
43,42,basket,22,22,28,23,25,15,86
44,42,card,1418,889,1833,1373,779,513,588
45,42,category,1824,2081,2176,1324,733,476,494
46,42,home,825,174,150,116,76,46,119
47,42,none,972,348,375,254,150,86,189
48,42,order,0,1,4,11,10,8,44
49,42,typ,0,1,1,4,3,3,24
50,43,basket,9,22,87,73,46,34,43
51,43,card,2550,1370,2676,1720,727,337,325
52,43,category,3102,3253,4601,2374,950,442,381
53,43,home,2518,476,417,309,138,74,138
54,43,none,3576,2915,2835,1655,678,300,306
55,43,order,0,0,35,37,23,17,20
56,43,typ,0,0,5,12,8,4,13
